36390,AC 101 - -BU - -A,INTRODUCTION TO ACCOUNTING,"Miller, Jared",Open,35/35,MWF (12:30pm-01:40pm) H 215,4
36438,AC 101 - -BU - -B,INTRODUCTION TO ACCOUNTING,"Miller, Jared",Open,35/35,MWF (02:00pm-03:10pm) H 215,4
36391,AC 206 - -BU - -A,INTERMEDIATE ACCOUNTING II,"Riportella, Terrie",Open,35/35,TH (02:00pm-03:40pm) H 214,4
36392,AC 270 - -BU - -A,COST MANAGEMENT ACCOUNTING,"Gabriel, Jeffrey",Open,35/35,MWF (08:00am-09:10am) H 211,4
36393,AC 270 - -BU - -B,COST MANAGEMENT ACCOUNTING,"Gabriel, Jeffrey",Open,35/35,MWF (02:00pm-03:10pm) H 211,4
36394,AC 302 - -BU - -A,ADVANCED STUDIES IN TAXATION,"Miller, Jared",Open,35/35,MW (09:30am-10:50am) H 215,4
36395,AC 304 - -BU - -A,FORENSIC ACCOUNTING,"Gabriel, Jeffrey",Open,35/35,MWF (12:30pm-01:40pm) H 211,4
36396,AC 405 - -BU - -A,AUDITING,"Riportella, Terrie",Open,24/24,TH (09:15am-10:55am) H 114,4
36397,AC 471 - -BU - -A,INTERNSHIP IN ACCOUNTING,"Riportella, Terrie",Open,10-Oct,By Arrangement,4
36398,AC 474 - -BU - -A,VOLUNTEER INCOME TAX ASSISTANCE PROGRAM,"Riportella, Terrie",Open,10-Oct,MF (11:00am-12:15pm) H 108,2
36512,AN 111 - -5NCH-C-A,NCH UNDERSTANDING HUMAN CULTURES,"Wheelersburg, Robert",Open,35/35,T (09:30am-10:50am) E GAUD,4
,AN 111 - -5NCH-C-A,SEM - NCH UNDERSTANDING HUMAN CULTURES,,,,H (09:30am-10:50am) N 207,
36530,AN 111 - -5NCH-C-B,NCH UNDERSTANDING HUMAN CULTURES,"Wheelersburg, Robert",Open,35/35,T (09:30am-10:50am) E GAUD,4
,AN 111 - -5NCH-C-B,SEM - NCH UNDERSTANDING HUMAN CULTURES,,,,H (11:00am-12:00pm) N 210,
36513,AN 201 - -6NPS-C-A,NPS PRINCIPLES OF BIOLOGICAL ANTHROPOLOGY,"Newell, Elizabeth",Open,35/35,WF (12:30pm-01:50pm) N 210,4
36528,AN 342 - -SO - -A,PRIMATES (BIO 342),"Newell, Elizabeth",Open,24/24,WF (09:30am-10:50am) N 230,4
36514,AN 361 - -SO - -A,ARCHEOLOGY AND GEOGRAPHY,"Wheelersburg, Robert",Open,14/14,WF (09:30am-10:50am) W 204,4
36655,AN 363 - -SO - -A,FORENSIC ANTHROPOLOGY,"Newell, Elizabeth",Open,15/15,TH (11:00am-12:20pm) L 249,4
36515,AN 370 - -SO - -A,FORENSIC ANTHROPOLOGY II,"Staff, No",Cancelled,20/20,,4
36516,AN 471 - -SO - -A,INTERNSHIP IN ANTHROPOLOGY,"Kozimor-King, Michele Lee",Open,10-Oct,By Arrangement,4
35908,ART105 - -3CE -C-A,CE DRAWING I,"Burns, Daniel",Open,18/18,MW (06:00pm-08:00pm) ST 108,4
35909,ART105 - -3CE -C-B,CE DRAWING I,"Arnold, Kristi",Open,18/18,TH (09:30am-10:45am) ST 108,4
35910,ART105 - -3CE -C-C,CE DRAWING I,"Bye, Jeff",Open,18/18,MW (12:30pm-01:45pm) ST 108,4
35928,ART105 - -3CE -C-D,CE DRAWING I,"Arnold, Kristi",Open,18/18,MW (09:30am-10:45am) ST 108,4
35911,ART120 - -3CE -C-A,CE SCULPTURE I,"Friedly, Milton",Open,14/14,MW (09:30am-12:20pm) ST 111,4
36107,ART145 - -3CE -C-A,CE DIGITAL PHOTOGRAPHY (COM 145),"Helb, Colin",Open,16/16,MW (12:30pm-01:50pm) ST 211,4
35912,ART157 - -4WCH-C-A,WCH INTRODUCTION TO THE HISTORY OF ART II,"Ricci, Patricia",Open,35/35,TH (11:00am-12:20pm) ST 101,4
35913,ART205 - -FP - -A,PAINTING I,"Arnold, Kristi",Open,6-Jun,MW (12:30pm-01:45pm) ST 109,4
35914,ART206 - -FP - -A,CERAMICS II,"Friedly, Milton",Open,14/14,T (05:00pm-09:00pm) ST 111,4
35922,ART209 - -FP - -A,TYPOGRAPHY AND TEXT DESIGN,"Eberly, Linda",Open,15/15,MW (06:30pm-08:30pm) ST 210,4
