35934,BIO103 - -6NPS-C-A,NPS LIVING WITH THE ENVIRONMENT,"Murray, Thomas",Open,9/10,MWF (08:00am-08:50am) L 151,4
35935,BIO111 - -BI - -A,"MOLECULES, CELLS, & ANIMAL SYSTEMS","Goldina, Anya",Open,12/15,MWF (08:00am-08:50am) L 152,4
35938,BIO112 - -BI - -A,"PRINCIPLES OF EVOLUTION, ECOLOGY, AND DIVERSITY OF LIFE","Bridge, Diane",Open,9/35,MWF (12:30pm-01:20pm) E 187,4
35939,BIO112 - -BI - -B,"PRINCIPLES OF EVOLUTION, ECOLOGY, AND DIVERSITY OF LIFE","Bridge, Diane",Closed,31/35,MWF (09:30am-10:20am) L 253,4
35943,BIO202 - -BI - -A,HUMAN ANATOMY AND PHYSIOLOGY II,"Mesa Cruz, Jose",Closed,27/35,MW (08:00am-09:20am) E GAUD,4
35944,BIO202 - -BI - -B,HUMAN ANATOMY AND PHYSIOLOGY II,"Goldina, Anya",Closed,8/14,TH (08:00am-09:20am) E GAUD,4
35950,BIO212 - -BI - -A,CELL BIOLOGY,"Cavender, Jane",Open,7/14,MWF (08:00am-08:50am) L 250,3
35972,BIO225 - -BI - -A,GEOGRAPHIC INFORMATION SYSTEMS: FUNDAMENTALS AND APPLICATIONS,"Bowne, David",Open,25/35,TH (12:30pm-01:50pm) E 368,4
35952,BIO235 - -BI - -A,GENERAL MICROBIOLOGY,"Cavender, Jane",Open,4/14,TH (08:00am-10:50am) L 150,4
35973,BIO274 - -BI - -A,BIOLOGICAL INTERNSHIP,"Cavender, Jane",Open,28/35,By Arrangement,0
35953,BIO322 - -BI - -A,IMMUNOLOGY,"Yorty, Jodi",Open,14/35,MF (11:00am-12:20pm) L 250,3
35955,BIO324 - -BI - -A,GENERAL PHYSIOLOGY,"Mesa Cruz, Jose",Open,4/5,TH (08:00am-09:20am) H 213,3
36529,BIO342 - -BI - -A,PRIMATES (AN 342),"Newell, Elizabeth",Open,4/5,WF (09:30am-10:50am) N 230,4
35975,BIO362 - -BI - -A,ECOTOXICOLOGY,"Murray, Thomas",Open,5/5,MWF (09:30am-10:20am) L 151,4
35957,BIO412 - -BI - -A,SEMINAR IN BIOLOGY,"Bowne, David",Open,15/15,F (12:30pm-01:20pm) L 153,1
35958,BIO412 - -BI - -B,SEMINAR IN BIOLOGY,"Yorty, Jodi",Open,9/35,F (12:30pm-01:20pm) L 250,1
35959,BIO412 - -BI - -C,SEMINAR IN BIOLOGY,"Murray, Thomas",Closed,0/35,F (12:30pm-01:20pm) L 151,1
35960,BIO474 - -BI - -A,INTERNSHIP IN BIOLOGICAL SCIENCES,"Cavender, Jane",Open,13/35,By Arrangement,0
35961,BIO492 - -BI - -A,RESEARCH IN BIOLOGY,"Yorty, Jodi",Open,0/35,By Arrangement,0
35962,BIO492 - -BI - -B,RESEARCH IN BIOLOGY,"Wohl, Debra",Open,0/35,By Arrangement,0
35963,BIO492 - -BI - -C,RESEARCH IN BIOLOGY,"Cavender, Jane",Open,5/26,By Arrangement,0
35964,BIO492 - -BI - -D,RESEARCH IN BIOLOGY,"Bridge, Diane",Open,2/24,By Arrangement,0
35965,BIO492 - -BI - -E,RESEARCH IN BIOLOGY,"Bowne, David",Open,3/12,By Arrangement,0
35966,BIO492 - -BI - -F,RESEARCH IN BIOLOGY,"Goldina, Anya",Open,0/12,By Arrangement,0
36584,BIO492 - -BI - -G,RESEARCH IN BIOLOGY,"Mesa Cruz, Jose",Open,6/35,By Arrangement,0
36851,BIO492 - -BI - -H,RESEARCH IN BIOLOGY,"Murray, Thomas",Open,6/35,By Arrangement,0
36390,AC 101 - -BU - -A,INTRODUCTION TO ACCOUNTING,"Miller, Jared",Closed,6/35,MWF (12:30pm-01:40pm) H 215,4
36438,AC 101 - -BU - -B,INTRODUCTION TO ACCOUNTING,"Miller, Jared",Closed,1/16,MWF (02:00pm-03:10pm) H 215,4
36391,AC 206 - -BU - -A,INTERMEDIATE ACCOUNTING II,"Riportella, Terrie",Open,10/10,TH (02:00pm-03:40pm) H 214,4
36392,AC 270 - -BU - -A,COST MANAGEMENT ACCOUNTING,"Gabriel, Jeffrey",Open,3/5,MWF (08:00am-09:10am) H 211,4
36393,AC 270 - -BU - -B,COST MANAGEMENT ACCOUNTING,"Gabriel, Jeffrey",Open,6/12,MWF (02:00pm-03:10pm) H 211,4
36394,AC 302 - -BU - -A,ADVANCED STUDIES IN TAXATION,"Miller, Jared",Open,1/12,MW (09:30am-10:50am) H 215,4
36395,AC 304 - -BU - -A,FORENSIC ACCOUNTING,"Gabriel, Jeffrey",Open,0/24,MWF (12:30pm-01:40pm) H 211,4
36396,AC 405 - -BU - -A,AUDITING,"Riportella, Terrie",Open,0/24,TH (09:15am-10:55am) H 114,4
36397,AC 471 - -BU - -A,INTERNSHIP IN ACCOUNTING,"Riportella, Terrie",Open,7/24,By Arrangement,4
36398,AC 474 - -BU - -A,VOLUNTEER INCOME TAX ASSISTANCE PROGRAM,"Riportella, Terrie",Open,14/35,MF (11:00am-12:15pm) H 108,2
36399,BA 101 - -BU - -A,BUSINESS AND SOCIETY,"Melvin, Sean",Closed,1/12,TH (12:30pm-01:50pm) H 212,4
36400,BA 105 - -BU - -A,MANAGERIAL COMMUNICATION AND STUDENT CAREER PREPAREDNESS,"MacKenzie, Tina",Open,20/20,W (09:30am-10:40am) H 212,1
36403,BA 197 - -BU - -A,INTRODUCTION TO INTERNATIONAL BUSINESS,"Varamini, Hossein",Open,0/35,TH (09:15am-10:55am) H 214,4
36404,BA 215 - -BU - -A,PRINCIPLES OF MARKETING,"Reichert, Eric",Open,6/35,MW (08:00am-09:20am) H 214,4
36405,BA 248 - -BU - -A,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (EGR 248),"Angelis, John",Open,27/35,MWF (09:30am-10:40am) H 214,4
36407,BA 248 - -BU - -B,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (EGR 248),"Angelis, John",Open,12/49,MWF (12:30pm-01:40pm) H 114,4
36409,BA 257 - -BU - -A,EXPORTING AND IMPORTING,"Holobetz, Basil",Open,18/30,T (07:40am-09:15am) H 211,2
36410,BA 258 - -BU - -A,GLOBAL BUSINESS NEGOTIATIONS,"Holobetz, Basil",Open,0/30,T (09:20am-10:55am) H 211,2
36411,BA 265 - -BU - -A,MANAGEMENT AND ORGANIZATIONAL BEHAVIOR,"Angelis, John",Closed,26/30,MWF (02:00pm-03:10pm) H 212,4
36412,BA 271 - -BU - -A,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Closed,0/24,01/14/2019 - 05/10/2019,2
36413,BA 271 - -BU - -B,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Open,0/24,01/14/2019 - 05/10/2019,2
36414,BA 271 - -BU - -C,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Closed,9/24,01/14/2019 - 05/10/2019,2
36869,BA 271 - -BU - -D,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Open,12/30,01/14/2019 - 05/10/2019,2
36442,BA 314 - -BU - -A,SALES AND SALES MANAGEMENT,"Innerst, Robert",Open,0/35,TH (02:00pm-03:40pm) H 114,4
36419,BA 330 - -BU - -A,LEGAL ENVIRONMENT OF BUSINESS,"Melvin, Sean",Open,0/35,TH (09:20am-10:55am) H 212,4
36241,BA 347 - -BU - -A,GLOBAL SUPPLY CHAIN MANAGEMENT (EGR 347),"Traub, Tod",Open,0/35,TH (06:00pm-07:20pm) E 164,4
