id,name,ext,cr,dpt
BIO103,NPS LIVING WITH THE ENVIRONMENT, -6NPS-C-,4,1
BIO111,"MOLECULES, CELLS, & ANIMAL SYSTEMS", -BI - -,4,1
BIO112,"PRINCIPLES OF EVOLUTION, ECOLOGY, AND DIVERSITY OF LIFE", -BI - -,4,1
BIO202,HUMAN ANATOMY AND PHYSIOLOGY II, -BI - -,4,1
BIO212,CELL BIOLOGY, -BI - -,3,1
BIO225,GEOGRAPHIC INFORMATION SYSTEMS: FUNDAMENTALS AND APPLICATIONS, -BI - -,4,1
BIO235,GENERAL MICROBIOLOGY, -BI - -,4,1
BIO274,BIOLOGICAL INTERNSHIP, -BI - -,0,1
BIO322,IMMUNOLOGY, -BI - -,3,1
BIO324,GENERAL PHYSIOLOGY, -BI - -,3,1
BIO342,PRIMATES (AN 342), -BI - -,4,1
BIO362,ECOTOXICOLOGY, -BI - -,4,1
BIO412,SEMINAR IN BIOLOGY, -BI - -,1,1
BIO474,INTERNSHIP IN BIOLOGICAL SCIENCES, -BI - -,0,1
BIO492,RESEARCH IN BIOLOGY, -BI - -,0,1
AC 101,INTRODUCTION TO ACCOUNTING, -BU - -,4,2
AC 206,INTERMEDIATE ACCOUNTING II, -BU - -,4,2
AC 270,COST MANAGEMENT ACCOUNTING, -BU - -,4,2
AC 302,ADVANCED STUDIES IN TAXATION, -BU - -,4,2
AC 304,FORENSIC ACCOUNTING, -BU - -,4,2
AC 405,AUDITING, -BU - -,4,2
AC 471,INTERNSHIP IN ACCOUNTING, -BU - -,4,2
AC 474,VOLUNTEER INCOME TAX ASSISTANCE PROGRAM, -BU - -,2,2
BA 101,BUSINESS AND SOCIETY, -BU - -,4,2
BA 105,MANAGERIAL COMMUNICATION AND STUDENT CAREER PREPAREDNESS, -BU - -,1,2
BA 197,INTRODUCTION TO INTERNATIONAL BUSINESS, -BU - -,4,2
BA 215,PRINCIPLES OF MARKETING, -BU - -,4,2
BA 248,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (EGR 248), -BU - -,4,2
BA 257,EXPORTING AND IMPORTING, -BU - -,2,2
BA 258,GLOBAL BUSINESS NEGOTIATIONS, -BU - -,2,2
BA 265,MANAGEMENT AND ORGANIZATIONAL BEHAVIOR, -BU - -,4,2
BA 271,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II, -BU - -,2,2
BA 314,SALES AND SALES MANAGEMENT, -BU - -,4,2
BA 330,LEGAL ENVIRONMENT OF BUSINESS, -BU - -,4,2
BA 347,GLOBAL SUPPLY CHAIN MANAGEMENT (EGR 347), -BU - -,4,2
BA 370,INTERNSHIP/CO-OP, -BU - -,12,2
BA 400,SENIOR PROJECT IN BUSINESS, -BU - -,4,2
BA 473,INTERNSHIP IN BUSINESS, -BU - -,3,2
BA 475,BUSINESS CO-OPERATIVE FELLOWSHIP, -BU - -,0,2
BA 490,ARTS ADMINISTRATION STRATEGY (FPA 490), -BU - -,2,2
BA 495,BUSINESS POLICY AND CORPORATE STRATEGY, -BU - -,4,2
BA 497,INTERNATIONAL BUSINESS SEMINAR, -BU - -,4,2
BA 499,SEMINAR IN MANAGEMENT, -BU - -,4,2
EC 101,SSC PRINCIPLES OF MACROECONOMICS, -7SSC-C-,4,2
EC 102,SSC PRINCIPLES OF MICROECONOMICS, -7SSC-C-,4,2
EC 280,INTERNATIONAL ORGANIZATIONS SEMINAR, -BU - -,2,2
EC 301,INTERMEDIATE MICROECONOMICS, -BU - -,4,2
EC 309,INTRODUCTION TO MATHEMATICAL ECONOMICS, -BU - -,4,2
FBE384,THE FAMILY AS ENTREPRENEUR, -BU - -,4,2
FBE385,NEW VENTURE CREATION, -BU - -,4,2
FBE450,ENTREPRENEURSHIP IN EMERGING ECONOMY, -BU - -,4,2
FBE494,FAMILY BUSINESS GOVERNANCE AND SUCCESSION PLANNING, -BU - -,4,2
FIN325,CORPORATE FINANCE, -BU - -,4,2
FIN425,ADVANCED FINANCIAL MANAGEMENT, -BU - -,4,2
FIN426,STUDENT MANAGED INVESTMENT PORTFOLIO, -BU - -,2,2
CH 105,NPS FUNDAMENTALS OF CHEMISTRY: INTRODUCTION TO MOLECULAR SCIENCE, -6NPS-C-,4,3
CH 109,NPS INTRODUCTION TO FORENSIC SCIENCE, -6NPS-C-,4,3
CH 110,NPS FORENSIC SCIENCE LABORATORY, -6NPS- -,2,3
CH 113,ORGANIC CHEMISTRY I, -CH - -,4,3
CH 214,CHEMICAL INSTRUMENTATION, -CH - -,4,3
CH 242,PHYSICAL INORGANIC CHEMISTRY, -CH - -,4,3
CH 292,INDEPENDENT RESEARCH IN CHEMISTRY, -CH - -,1,3
CH 324,BIOCHEMISTRY II, -CH - -,3,3
CH 362,CHEMISTRY SEMINAR II, -CH - -,1,3
CH 402,ADVANCED INORGANIC CHEMISTRY, -CH - -,3,3
CH 456,INTEGRATED CHEMISTRY LABORATORY II, -CH - -,1,3
CH 462,CHEMISTRY SEMINAR IV, -CH - -,1,3
CH 492,RESEARCH IN CHEMISTRY, -CH - -,2,3
CSC462,COGNITIVE SCIENCE CAPSTONE, -CSC - -,4,4
COM120,INTRO TO COMMUNICATION, -CM - -,4,5
COM130,VISUAL COMMUNICATIONS, -CM - -,4,5
COM145,CE DIGITAL PHOTOGRAPHY (ART 145), -3CE -C-,4,5
COM170,FACE-TO-FACE COMMUNICATION IN A DIGITAL WORLD, -CM - -,2,5
COM210,PRESENTATION SKILLS, -CM - -,4,5
COM211,MULTIMEDIA JOURNALISM, -CM - -,4,5
COM220,AUDIO PRODUCTION, -CM - -,4,5
COM248,COMMUNICATION LAW AND ETHICS, -CM - -,4,5
COM261,FILM STUDIES, -CM - -,4,5
COM314,MAGAZINE PRODUCTION, -CM - -,4,5
COM330,COMMUNICATION RESEARCH METHODS, -CM - -,4,5
COM333,ORGANIZATIONAL COMMUNICATION, -CM - -,4,5
COM358,MARKETING COMMUNICATIONS, -CM - -,4,5
COM370,"MEDIA, SPORTS, AND SOCIETY", -CM - -,4,5
COM371,PHOTOJOURNALISM, -CM - -,4,5
COM410,ADVANCED PRODUCTION, -CM - -,4,5
COM471,PRACTICUM, -CM - -,1,5
COM485,COMMUNICATIONS CAPSTONE, -CM - -,4,5
COM499,HONORS IN THE DISCIPLINE II, -CM - -,2,5
CS 113,NPS THE POWER AND BEAUTY OF COMPUTING, -6NPS-C-,4,6
CS 121,COMPUTER SCIENCE I, -CS - -,4,6
CS 122,COMPUTER SCIENCE II, -CS - -,4,6
CS 222,SYSTEMS PROGRAMMING (EGR 222), -CS - -,4,6
CS 230,MICROCOMPUTER ARCHITECTURE (EGR 230), -CS - -,4,6
CS 322,ALGORITHMS, -CS - -,4,6
CS 333,DIGITAL CIRCUITS AND COMPUTER INTERFACING (EGR 333), -CS - -,4,6
CS 341,SOFTWARE ENGINEERING, -CS - -,4,6
CS 342,COMPUTER NETWORKING, -CS - -,4,6
CS 422,OPERATING SYSTEMS (EGR 422), -CS - -,4,6
CS 471,INTERNSHIP IN COMPUTING, -CS - -,4,6
CS 490,PROJECTS IN COMPUTING, -CS - -,4,6
CS 495,HONORS PROJECTS IN COMPUTING, -CS - -,4,6
DS 200,INTRODUCTION TO DATA SCIENCE, -CS - -,4,6
CW 386,"WORD, WEB, AND DESIGN", -CW - -,4,7
DAT200,DATA ANALYTICS I, -DAT - -,2,8
DAT315,MACHINE LEARNING, -DAT - -,2,8
DAT400,DATA ANALYTICS CAPSTONE, -DAT - -,4,8
ED 105,FOUNDATIONS OF TEACHING AND LEARNING, -ED - -,4,9
ED 150,EARLY CHILDHOOD DEVELOPMENT, -ED - -,4,9
ED 151,EARLY ADOLESCENT/ADOLESCENT DEVELOPMENT, -ED - -,4,9
ED 161,INTEGRATED TECHNOLOGY I, -ED - -,2,9
ED 212,CHILDREN/ADOLESCENT LITERATURE, -ED - -,2,9
ED 224,PA HISTORY & GOVERNMENT FOR SOCIAL STUDIES EDUCATORS (HI 224), -ED - -,4,9
ED 250,LANGUAGE AND LITERACY DEVELOPMENT IN EARLY CHILDHOOD, -ED - -,4,9
ED 258,EDUCATIONAL ASSESSMENT AND EVALUATION, -ED - -,4,9
ED 317,ASSESSING STUDENT LITERACIES IN GRADES PK-8, -ED - -,4,9
ED 325,METHODS FOR TEACHING SCIENCE AND HEALTH IN EARLY CHILDHOOD, -ED - -,4,9
ED 326,METHODS FOR TEACHING SCIENCE AND HEALTH IN ELEMENTARY/MIDDLE LEVEL, -ED - -,4,9
ED 335,METHODS FOR TEACHING MATHEMATICS IN EARLY CHILDHOOD, -ED - -,4,9
ED 336,METHODS FOR TEACHING MATHEMATICS IN ELEMENTARY/MIDDLE LEVEL, -ED - -,4,9
ED 341,ELL: LINGUISTIC AND CULTURAL DIVERSITY IN THE CLASSROOM, -ED - -,4,9
ED 345,METHODS FOR TEACHING READING AND WRITING IN EARLY CHILDHOOD, -ED - -,4,9
ED 346,METHODS FOR TEACHING READING AND WRITING IN ELEMENTARY/MIDDLE LEVEL, -ED - -,4,9
ED 360,INTEGRATED STRATEGIES FOR CREATIVE EXPRESSION IN EARLY CHILDHOOD, -ED - -,4,9
ED 365,METHODS FOR TEACHING SOCIAL STUDIES IN EARLY CHILDHOOD, -ED - -,4,9
ED 366,METHODS FOR TEACHING SOCIAL STUDIES IN ELEMENTARY/MIDDLE LEVEL, -ED - -,4,9
ED 400,SENIOR PROJECT IN EDUCATION, -ED - -,2,9
ED 470,PROFESSIONAL INTERNSHIP: ERLY CHLD, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: ELEM/MDDLE, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: ENGLISH, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: MATH, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: SCIENCE, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: SPEC ED, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: SOCIAL STU, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: ART, -ED - -,12,9
ED 470,PROFESSIONAL INTERNSHIP: SPANISH, -ED - -,12,9
ED 495,SENIOR SEMINAR FOR EARLY CHILDHOOD, -ED - -,4,9
ED 496,SENIOR SEMINAR FOR ELEMENTARY/ MIDDLE LEVEL, -ED - -,4,9
ED 497,SENIOR SEMINAR FOR SECONDARY EDUCATION, -ED - -,4,9
MCI530,BUILDING SOCIAL AND COMMUNITY CAPACITY, -ED - -,3,9
MCI535,CURRENT ISSUES &TRENDS IN ASSESSMNT IN SPECIAL & APPLIED STATASTICS, -ED - -,3,9
MCI590,THE GRADUATE RESEARCH SEMINAR, -ED - -,6,9
MSE512,LEARNING ENVIRONMENT AND SOCIAL INTRCTN IN INCLSV STGS (SED 212), -ED - -,4,9
MSE522,FOUNDATIONS OF INCLUSIVE EDUCATION (SED 222), -ED - -,4,9
MSE524,METHODS OF TEACHING STUDENTS WITH HIGH INCIDENCE DISABLTIES (SED 224), -ED - -,4,9
MSE530,METHODS OF TEACHING STUDENTS W/ LOW INCIDENCE DISABILITIES (SED 230), -ED - -,4,9
MSE590,GRADUATE RESEARCH SEMINAR, -ED - -,4,9
SED212,LEARNING ENVIRONMENT AND SOCIAL INTRCTN IN INCLSV STGS (MSE 512), -ED - -,4,9
SED222,FOUNDATIONS OF INCLUSIVE EDUCATION (MSE 522), -ED - -,4,9
SED224,METHODS OF TEACHING STUDENTS WITH HIGH INCIDENCE DISABLT (MSE 524), -ED - -,4,9
SED230,METHODS OF TEACHING STUDENTS W/ LOW INCIDENCE DISABILITIES (MSE 530), -ED - -,4,9
HON201,HNR ELIZABETHTOWN HISTORY: CAMPUS AND COMMUNITY, -ET -N-,2,0
HON301,HNR THESIS PREPARATION, -ET -N-,1,0
LIB170,INFORMATION LITERACY AND RESEARCH, -ET - -,1,0
EGR192,INTRODUCTION TO ENGINEERING II, -PY - -,2,10
EGR222,SYSTEMS PROGRAMMING (CS 222), -PY - -,4,10
EGR230,MICROCOMPUTER ARCHITECTURE (CS 230), -PY - -,4,10
EGR248,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (BA 248), -PY - -,4,10
EGR256,ENVIRONMENTAL SITE AND ENGINEERING DESIGN, -PY - -,3,10
EGR280,ENGINEERING RESEARCH/PROJECT, -PY - -,0,10
EGR291,SOPHOMORE PROJECT, -PY - -,1,10
