id,roomnum,buildingid
0,215,3
1,214,3
2,211,3
3,114,3
4,108,3
5,GAUD,2
6,207,6
7,210,6
8,230,6
9,204,11
10,249,4
11,108,9
12,111,9
13,211,9
14,101,9
15,109,9
16,210,9
17,110,9
18,114,9
19,273,2
20,127,6
21,212,3
22,213,3
23,164,2
24,226,3
25,116,13
26,151,4
27,152,4
28,187,2
29,253,4
30,250,4
31,368,2
32,150,4
33,153,4
34,232,5
35,108,5
36,105,10
37,201,5
38,105,5
39,106,5
40,215,5
41,203,6
42,204,9
43,281,2
44,208,6
45,STD,7
46,202,6
47,106,6
48,104,6
49,129,6
50,131,6
51,182,2
52,163,2
53,380,2
54,206,6
55,232,6
56,204,6
57,201,6
58,212,6
59,107,3
60,184,2
61,111,3
62,211,11
63,304,11
64,112,3
65,CLSRM,12
66,228,6
67,125,13
68,1,11
69,234,6
70,310,11
71,370,2
72,270,2
73,382,2
74,205,13
75,204,13
76,112,13
77,126,13
78,102,13
79,205,6
80,114,13
81,101,13
82,373,2
83,360,2
84,362,2
85,BSMT,8
86,BOWL,10
87,GYM,10
88,260H,2
89,271D,2
90,280,2
91,TEMP,7
